additional_links,address,agent,baths,beds,commonhold_details,council_tax_band,country_code,currency,date_added,description,link,price,property_id,property_size,property_type,service_charge,tenure,time_remaining_on_lease,type,url,virtual_tour
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Tower Place, Edinburgh, Midlothian, EH6","Reduced on 28/02/2025
 by Umega, Edinburgh",0,2,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 28/02/2025,"This beautifully presented two-bedroom property at Tower Place is situated in the heart of the vibrant Shore area in Leith, offering the perfect combination of contemporary comfort and picturesque surroundings.",https://www.rightmove.co.uk/properties/157181879#/?channel=RES_BUY,245000,157181879,,for-sale,,Leasehold (40 years),40 years,apa,https://www.rightmove.co.uk/properties/157181879#/?channel=RES_BUY,Available (link not found)
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","India Street, New Town, Edinburgh, EH3","Added on 10/09/2024
 by Savills, Edinburgh",0,7,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 10/09/2024,One of few full townhouses remaining on India Street gloriously restored and modernised with a blend of subtle opulence and contemporary flare,https://www.rightmove.co.uk/properties/152265644#/?channel=RES_BUY,4750000,152265644,6678sq. ft,for-sale,,Leasehold (160 years),160 years,te,https://www.rightmove.co.uk/properties/152265644#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","India Street, Edinburgh","Added on 10/09/2024
 by Rettie, Edinburgh",0,7,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 10/09/2024,"18 India Street is an exquisite, meticulously presented, fully restored and refurbished four-storey townhouse with mews double garage. The house is arguably one of its kind, situated on a distinguished wide cobbled street in the heart of the Edinburgh New Town, once famed as the only road in the ...",https://www.rightmove.co.uk/properties/152264552#/?channel=RES_BUY,4750000,152264552,6678sq. ft,for-sale,,Leasehold (40 years),40 years,te,https://www.rightmove.co.uk/properties/152264552#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/42k/41048/149212244/41048_EDN012444478_DOC_01_0009.pdf""]","Forres Street, Edinburgh, EH3","Reduced on 15/01/2025
 by Knight Frank, Edinburgh",0,8,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 15/01/2025,"An exceptional Georgian townhouse with a landscaped garden, in a prestigious New Town address. This five-storey, seven-bedroom family house sits in a prime location on Forres Street, with a landscaped garden and access to the stunning Moray Gardens just at the end of the road. The house has been...",https://www.rightmove.co.uk/properties/149212244#/?channel=RES_BUY,2950000,149212244,6090sq. ft,for-sale,,Leasehold (40 years),40 years,te,https://www.rightmove.co.uk/properties/149212244#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Inverleith Place, Inverleith, Edinburgh, EH3","Added on 21/09/2023
 by Savills, Edinburgh",0,6,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 21/09/2023,"Beautifully presented detached family home, extending to over 4600sq ft, with wonderful southerly views of the Edinburgh skyline in one of North Edinburgh's most prestigious addresses",https://www.rightmove.co.uk/properties/140264516#/?channel=RES_BUY,2800000,140264516,4626sq. ft,for-sale,,Leasehold (15 years),15 years,detached h,https://www.rightmove.co.uk/properties/140264516#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Regent Terrace, New Town, Edinburgh, EH7","Added on 31/01/2025
 by Savills, Edinburgh",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 31/01/2025,"A beautifully restored Georgian townhouse with breath-taking views, immaculate interiors and private rear garden with direct access to the exclusive Regent Gardens",https://www.rightmove.co.uk/properties/157605638#/?channel=RES_BUY,2700000,157605638,3680sq. ft,for-sale,,Leasehold (160 years),160 years,te,https://www.rightmove.co.uk/properties/157605638#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/42k/41048/153816131/41048_POD012372663_DOC_01_0000.pdf""]","St. Margaret's Road, Greenhill, Edinburgh, EH9","Reduced on 03/10/2023
 by Knight Frank, Edinburgh",0,7,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 03/10/2023,"A beautiful, detached house with a large garden, parking, and a garage This is a rare opportunity to acquire an outstanding family house in a prime south side address. Extensive living and entertaining space is well balanced by seven double bedrooms. This imposing house sits centrally in its gr...",https://www.rightmove.co.uk/properties/153816131#/?channel=RES_BUY,2650000,153816131,5076sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/153816131#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Northumberland Street, Edinburgh","Added on 28/02/2025
 by Rettie, Edinburgh",0,7,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 28/02/2025,"12 Northumberland Street is a fine example of a traditional four-storey Georgian townhouse, in an enviable end terrace position, situated on a picture-perfect cobbled street in the heart of the New Town, one of Edinburgh’s most coveted areas. This spectacular home offers the epitome of mode...",https://www.rightmove.co.uk/properties/158823251#/?channel=RES_BUY,2550000,158823251,4552sq. ft,for-sale,,Leasehold (40 years),40 years,te,https://www.rightmove.co.uk/properties/158823251#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW""]","Belford Road, West End, Edinburgh","Added on 03/03/2025
 by Murray & Currie, Edinburgh",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",h,GB,GBP,Added on 03/03/2025,"60/13 Belford Road is a vast, Penthouse apartment boasting four double bedrooms, three bathrooms, exceptional living space and direct access via the developments lift.",https://www.rightmove.co.uk/properties/158917481#/?channel=RES_BUY,2500000,158917481,,for-sale,,Leasehold (100 years),100 years,penth,https://www.rightmove.co.uk/properties/158917481#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW""]","Plot L3.40, Village View, Belford Road, Edinburgh, Midlothian","Added on 28/02/2025
 by Rettie, New Homes",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",h,GB,GBP,Added on 28/02/2025,"An incredible four-bedroom penthouse, overlooking the water of Leith and the picturesque Dean Village. Plot L3.40 Belford Road is located in Village View, the latest jewel in the AMA Homes crown. The development is perfectly located to take advantage of all that Edinburgh’s city...",https://www.rightmove.co.uk/properties/158824172#/?channel=RES_BUY,2500000,158824172,3443sq. ft,for-sale,,Leasehold (40 years),40 years,penth,https://www.rightmove.co.uk/properties/158824172#/?channel=RES_BUY,
