additional_links,address,agent,baths,beds,commonhold_details,council_tax_band,country_code,currency,date_added,description,ground_rent,link,price,property_id,property_size,property_type,service_charge,tenure,time_remaining_on_lease,type,url,virtual_tour
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/229k/228986/87070605/228986_33617904_DOC_02_0004.pdf""]","Silverdale Avenue, Guiseley","Added on 22/01/2025
 by Monroe Estate Agents, Alwoodley",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 22/01/2025,"Monroe is thrilled to showcase 12 Silverdale Avenue, a stunning three-bedroom family home in the heart of Guiseley. Boasting immaculate internal finishing and south facing gardens.",,https://www.rightmove.co.uk/properties/87070605#/?channel=RES_BUY,275000,87070605,990sq. ft,for-sale,,Leasehold (20 years),20 years,end,https://www.rightmove.co.uk/properties/87070605#/?channel=RES_BUY,
,"Bow Street, Leeds","Marketed by Savills, Leeds",0,0,,,GB,GBP,,Residential Development Opportunity in Prime Location in Leeds,,https://www.rightmove.co.uk/properties/123658481#/?channel=COM_BUY,POA,123658481,94525sq. ft,for-sale,,,,Not specified,https://www.rightmove.co.uk/properties/123658481#/?channel=COM_BUY,
,"Kirkstall Forge, Great Exhibition Way, Kirkstall, Leeds","Marketed by Savills, Leeds",0,0,,,GB,GBP,,An Exceptional Development Opportunity,,https://www.rightmove.co.uk/properties/144662693#/?channel=COM_BUY,POA,144662693,,for-sale,,,,Not specified,https://www.rightmove.co.uk/properties/144662693#/?channel=COM_BUY,
,"The Boulevard, Leeds, LS10","Added on 05/10/2023
 by Tyron Ash International Real Estate, London",0,32,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 05/10/2023,REF: JAGUN - This portfolio sale consists of 24 apartments located in the LS10 area of Leeds. The apartments are part of a larger residential complex or multiple buildings within close proximity to each other,,https://www.rightmove.co.uk/properties/140860883#/?channel=RES_BUY,4600000,140860883,,for-sale,,Leasehold (40 years),40 years,apa,https://www.rightmove.co.uk/properties/140860883#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Ling Lane, Leeds, LS14","Added on 31/01/2025
 by Tyron Ash International Real Estate, London",0,7,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 31/01/2025,"Tyron Ash Real Estate is proud to present an unparalleled, contemporary detached residence, seven bedrooms, eight and a half baths with an incredible Swimming pool and Leisure wing, nestled in private land on one of Leeds most prestigious addresses",,https://www.rightmove.co.uk/properties/157594775#/?channel=RES_BUY,4000000,157594775,7928sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/157594775#/?channel=RES_BUY,Available (link not found)
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Molva House, Ling Lane, Scarcroft, Leeds, West Yorkshire","Added on 07/03/2025
 by Fine & Country, Moortown",0,6,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 07/03/2025,"Fine & Country is thrilled to present this breathtaking, south-facing detached home, located in one of the most desirable areas. Set on a generous 0.78-acre plot.",,https://www.rightmove.co.uk/properties/159142079#/?channel=RES_BUY,3950000,159142079,14359sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/159142079#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?activePlan=2&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW""]","Navaron House, Wigton Lane, Alwoodley, Leeds, West Yorkshire","Added on 27/06/2024
 by Fine & Country, Moortown",0,6,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 27/06/2024,"Situated on one of North Leeds’ most sought-after lanes, Fine and Country are delighted to bring to the market a most imposing and substantial, six double bedroom detached residence which is set in approximately half an acre. This impressive home has a southerly aspect to the rear and will ...",,https://www.rightmove.co.uk/properties/149625041#/?channel=RES_BUY,3800000,149625041,6760sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/149625041#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/229k/228986/154918874/228986_33212743_DOC_02_0004.pdf""]","Albury, Clarence Drive, Menston, Ilkley","Added on 13/11/2024
 by Monroe Estate Agents, Alwoodley",0,8,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 13/11/2024,"Albury, a true gem nestled within the most exquisite of locations. This eight bedroom home boasts the best in specification. Offering over four acres of land and over 6900 sqft of living space this property is nothing short of remarkable.",,https://www.rightmove.co.uk/properties/154918874#/?channel=RES_BUY,3750000,154918874,6991sq. ft,for-sale,,Leasehold (20 years),20 years,detached h,https://www.rightmove.co.uk/properties/154918874#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/254k/253205/153006344/253205_33176393_DOC_02_0010.pdf""]","Crocodile House, Manor Gardens, Thorner, Leeds","Reduced on 26/12/2024
 by Monroe Estate Agents, Boston Spa",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 26/12/2024,"Enviably tucked away in the highly regarded village of Thorner, enjoying a rural and peaceful setting this stunning five bedroom family home boasts the best of contemporary living and high specification throughout.",,https://www.rightmove.co.uk/properties/153006344#/?channel=RES_BUY,3500000,153006344,5784sq. ft,for-sale,,Leasehold (20 years),20 years,detached h,https://www.rightmove.co.uk/properties/153006344#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/263k/262034/154815185/262034_RX428354_DOC_00_0000.pdf""]","Wigton Lane, Alwoodley, Leeds","Added on 11/11/2024
 by Butler Ridge, Wetherby",0,6,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 11/11/2024,"A substantial family residence, occupying an established prime position in one of the most sought after residential addresses in Alwoodley",,https://www.rightmove.co.uk/properties/154815185#/?channel=RES_BUY,3299950,154815185,8103sq. ft,for-sale,,Leasehold (25 years),25 years,detached h,https://www.rightmove.co.uk/properties/154815185#/?channel=RES_BUY,
