additional_links,address,agent,baths,beds,commonhold_details,council_tax_band,country_code,currency,date_added,description,ground_rent,link,price,property_id,property_size,property_type,service_charge,tenure,time_remaining_on_lease,type,url,virtual_tour
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Harewood Close, Wynyard, TS22","Added yesterday
 by Selectiv, Teesside",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added yesterday,"It's very easy to run out of superlatives when trying to describe to the reader, this absolute stunning 4 bedroom detached family home. Occupying a fantastic corner plot at the head of a super desirable cul de sac position, offering a lot more than meets the eye bursting with luxury after luxury!",,https://www.rightmove.co.uk/properties/159529991#/?channel=RES_BUY,360000,159529991,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/159529991#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","The Avenue, Wynyard, Billingham, Durham, TS22","Added on 25/06/2024
 by Jackson-Stops, Alderley Edge",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 25/06/2024,"An exceptional Georgian country house enjoying a private and exclusive position surrounded by attractive countryside and set within gardens and grounds extending to approximately 5.4 acres. The extremely well-presented accommodation extends to close to 10,000sqft in total, including the leisure ...",,https://www.rightmove.co.uk/properties/149546369#/?channel=RES_BUY,2250000,149546369,9843sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/149546369#/?channel=RES_BUY,Available (link not found)
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/172k/171482/134222567/171482_11932723_DOC_01_0004.pdf""]","Tetrarch Manor, Manorside, Wynyard","Reduced on 11/12/2024
 by Sanderson Young, Gosforth",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 11/12/2024,"Tetrarch Manor provides a magnificent, detached and modern residence which has been recently constructed to an extremely high standard and is ideally situated within a prestigious and private gated development. The property offers one of the largest modern family homes which have been individuall...",,https://www.rightmove.co.uk/properties/134222567#/?channel=RES_BUY,1900000,134222567,7500sq. ft,for-sale,,Leasehold (190 years),190 years,detached h,https://www.rightmove.co.uk/properties/134222567#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/51k/50411/153398405/50411_33418516_DOC_00_0016.pdf""]","Manorside, Wynyard, Billingham","Added on 04/10/2024
 by Robinsons Regency and Rural, Wynyard",0,6,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 04/10/2024,"There is no doubt that 9 Manorside is a spectacular property built on a large scale and to a unique specification, yet it has been lovingly created and from the outset offers a warm welcome. It is bright, light and tasteful and amid all its stylish features is a place in which to feel comfortable...",,https://www.rightmove.co.uk/properties/153398405#/?channel=RES_BUY,1450000,153398405,,for-sale,,Leasehold (25 years),25 years,detached h,https://www.rightmove.co.uk/properties/153398405#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Cavendish, Wynyard, TS22","Added on 31/01/2025
 by Bradley Hall, Durham",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 31/01/2025,"Situated within an exclusive development of individually designed, self-built detached homes, this stunning modern mansion seamlessly blends luxury, style, and functionality. Designed to meet the needs of contemporary family life, whilst not compromising on style, it boasts high-spec ...",,https://www.rightmove.co.uk/properties/157642970#/?channel=RES_BUY,1400000,157642970,4586sq. ft,for-sale,,Leasehold (30 years),30 years,detached h,https://www.rightmove.co.uk/properties/157642970#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/51k/50411/155124809/50411_33517011_DOC_00_0003.pdf""]","The Cavendish, Wynyard Park, Billingham","Added on 26/12/2023
 by Robinsons Regency and Rural, Wynyard",0,6,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 26/12/2023,"With its exemplary design, 9 The Cavendish is certainly a stunning example of architectural design, where classic meets contemporary whilst bordering on modern art deco. This well appointed new home has been intricately composed and built to the very highest of standards by Wynyard based Racz Ho...",,https://www.rightmove.co.uk/properties/155124809#/?channel=RES_BUY,1400000,155124809,5300sq. ft,for-sale,,Leasehold (25 years),25 years,h,https://www.rightmove.co.uk/properties/155124809#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Poppy Cottage, Musgrave Garden Lane, Wynyard, TS22","Added on 13/02/2025
 by Collier Estates, Hartlepool",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 13/02/2025,"An exceptional 5 Bedroom Detached family home within the prestigious and much coveted location of Musgrave Garden Lane, Wynyard Park. Rare to the market, this stunning Dormer Bungalow presents 4392sq ft of luxury living space over 2 floors, nestled within a generous 0.44 Acre plot.",,https://www.rightmove.co.uk/properties/158229455#/?channel=RES_BUY,1400000,158229455,4392sq. ft,for-sale,,Leasehold (20 years),20 years,detached bungal,https://www.rightmove.co.uk/properties/158229455#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/36k/35312/155214515/35312_33522398_DOC_00_0000.pdf""]","Wynyard Park, Wynyard","Added on 21/11/2024
 by GSC Grays, Richmond, North Yorkshire",0,8,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 21/11/2024,"Located in secluded and private grounds of 8.9 acres, this residential self-build plot benefits from full planning permission for a 15,188 square foot, eight-bedroom country home thoughtfully designed with exceptional ecological credentials.",,https://www.rightmove.co.uk/properties/155214515#/?channel=RES_BUY,1300000,155214515,15088sq. ft,for-sale,,Leasehold (40 years),40 years,c,https://www.rightmove.co.uk/properties/155214515#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/2k/1754/156249398/1754_BIL109062_DOC_01_0001.pdf""]","Cameron Court, Wynyard, BILLINGHAM","Added on 26/12/2024
 by Manners & Harrison, Billingham",0,8,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 26/12/2024,"An individually built, eight bedroom, executive family home, offering impressive, and exceptionally spacious accommodation. Outside there's a gated entrance to the front, allowing parking for a number of vehicles, and triple garage. The rear garden is simply delightful, backing onto Woodlands.",,https://www.rightmove.co.uk/properties/156249398#/?channel=RES_BUY,1300000,156249398,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/156249398#/?channel=RES_BUY,Available (link not found)
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/51k/50411/146415197/50411_32663349_DOC_00_0036.pdf""]","Cameron Court, Wynyard Woods","Reduced on 11/11/2024
 by Robinsons Regency and Rural, Wynyard",0,7,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 11/11/2024,A superb seven bedroom family home recently completed which is situated in the prestigious Wynyard Woods. This new home is situated on a plot of just over 1/3 of an acre with woodland to the rear providing privacy. The property is approximately 592 square metres and the garage 54.5 square...,,https://www.rightmove.co.uk/properties/146415197#/?channel=RES_BUY,1250000,146415197,62000sq. ft,for-sale,,Leasehold (25 years),25 years,h,https://www.rightmove.co.uk/properties/146415197#/?channel=RES_BUY,
