additional_links,address,agent,baths,beds,commonhold_details,council_tax_band,country_code,currency,date_added,description,ground_rent,link,price,property_id,property_size,property_type,service_charge,tenure,time_remaining_on_lease,type,url,virtual_tour
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Brook Furlong, Bembridge, Isle of Wight, PO35 5QR","Reduced on 17/01/2025
 by Clare Maton homes, Bembridge",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 17/01/2025,"This wonderful detached house has been thoughtfully refurbished to provide all the needs for modern day living with bright, spacious and flexible accommodation. The refurbishment includes...",,https://www.rightmove.co.uk/properties/150945341#/?channel=RES_BUY,440000,150945341,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/150945341#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/155k/154001/157405826/154001_33631186_DOC_00_0000.pdf""]","Bembridge, Isle of Wight","Added on 27/01/2025
 by Spence Willard, Bembridge",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 27/01/2025,A stunning and historic house on the beach in Bembridge. This impressive period home overlooks expansive gardens which extend to the water’s edge with gated access from Ducie Beach.,,https://www.rightmove.co.uk/properties/157405826#/?channel=RES_BUY,2650000,157405826,4136sq. ft,for-sale,,Leasehold (40 years),40 years,semi-detached h,https://www.rightmove.co.uk/properties/157405826#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/75k/74555/87003201/74555_33337519_DOC_00_0000.pdf""]","Lane End Road, Bembridge","Added on 30/08/2024
 by Marvins, Cowes",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",G,GB,GBP,Added on 30/08/2024,Offered to the market for the first time in 90 years is this substantial family five bedroom detached house with spacious gardens and a pool complex. St Hilary was built in 1933 for the parents of the current owners and sits in a lovely sized plot of approximately three quarters of an ac...,,https://www.rightmove.co.uk/properties/87003201#/?channel=RES_BUY,1495000,87003201,,for-sale,,Leasehold (90 years),90 years,h,https://www.rightmove.co.uk/properties/87003201#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/155k/154001/158420711/154001_33683734_DOC_00_0003.pdf""]","Bembridge, Isle of Wight","Added on 18/02/2025
 by Spence Willard, Bembridge",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 18/02/2025,Enjoying fantastic and secluded gardens this substantial family property with garden annexe has been comprehensively remodelled with a stunning renovation and is situated on a sought-after road which leads to the beach in Bembridge.,,https://www.rightmove.co.uk/properties/158420711#/?channel=RES_BUY,1375000,158420711,3014sq. ft,for-sale,,Leasehold (40 years),40 years,h,https://www.rightmove.co.uk/properties/158420711#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Hillway Road, Bembridge, Isle of Wight","Reduced on 07/08/2024
 by Fine & Country, Isle of Wight",0,6,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 07/08/2024,"This charming, detached house is accompanied by a modern 1 bedroom single-story annex, providing potential income opportunities, nestled on the outskirts of a sought-after village. The property offers spacious living areas, a beautiful garden, and the luxury of a hot tub house in its garden, perf...",,https://www.rightmove.co.uk/properties/149444312#/?channel=RES_BUY,1300000,149444312,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/149444312#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/155k/154001/150138743/154001_33228317_DOC_00_0000.pdf""]","Bembridge, Isle of Wight","Reduced on 24/09/2024
 by Spence Willard, Bembridge",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 24/09/2024,"Set in private and mature gardens on a leafy lane close to the beach in Bembridge, this substantial period property offers light accommodation with splendid garden outlook.",,https://www.rightmove.co.uk/properties/150138743#/?channel=RES_BUY,995000,150138743,2271sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/150138743#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/155k/154001/156515258/154001_33571545_DOC_00_0000.pdf""]","Bembridge, Isle of Wight","Added on 06/01/2025
 by Spence Willard, Bembridge",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 06/01/2025,"Beautifully refined following a complete refurbishment this substantial family home with mature gardens, enjoys a superb open plan living space and is close to Forelands beach.",,https://www.rightmove.co.uk/properties/156515258#/?channel=RES_BUY,950000,156515258,2519sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/156515258#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Swains Road, Bembridge, Isle of Wight, PO35 5XS","Reduced on 19/12/2024
 by Clare Maton homes, Bembridge",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 19/12/2024,"This superb family sized home is situated within one of the most desirable areas of Bembridge, a location where one can be on the beach in moments or have an easy stroll into the village centre. ...",,https://www.rightmove.co.uk/properties/147032024#/?channel=RES_BUY,895000,147032024,,for-sale,,Leasehold (30 years),30 years,semi-detached h,https://www.rightmove.co.uk/properties/147032024#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW"", ""https://media.rightmove.co.uk/155k/154001/153338579/154001_33415291_DOC_00_0000.pdf""]","Bembridge, Isle of Wight","Added on 03/10/2024
 by Spence Willard, Bembridge",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 03/10/2024,"An impressive and substantial new family home in the sought after village of Bembridge, boasting a high energy efficiency ‘A’ rating and incorporates high specification materials and features.",,https://www.rightmove.co.uk/properties/153338579#/?channel=RES_BUY,875000,153338579,2368sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/153338579#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/155k/154001/156681863/154001_33594230_DOC_00_0000.pdf""]","Bembridge , Isle of Wight","Added on 09/01/2025
 by Spence Willard, Bembridge",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 09/01/2025,"Recently refurbished and deceptively spacious, this detached family home has south facing gardens, an impressive open plan kitchen and a versatile arrangement of accommodation up to five bedrooms.",,https://www.rightmove.co.uk/properties/156681863#/?channel=RES_BUY,875000,156681863,2100sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/156681863#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/155k/154001/157513604/154001_33637335_DOC_00_0002.pdf""]","Bembridge, Isle of Wight","Added on 29/01/2025
 by Spence Willard, Bembridge",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 29/01/2025,"Impressive family home with sea views and spacious rooms, garaging and south facing gardens.",,https://www.rightmove.co.uk/properties/157513604#/?channel=RES_BUY,875000,157513604,2239sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/157513604#/?channel=RES_BUY,
