address,agent,baths,beds,date_added,description,link,price,type
"Stockwell Park Road, London, SW9","Added on 10/02/2025
 by Winkworth, Kennington Sales",0,5,Added on 10/02/2025,"A charming five-bedroom Late Georgian family house situated in the heart of the Stockwell Park Conservation Area on Stockwell Park Road. This house benefits from a sizeable 53-foot garden, and spans almost 2100 SQ/FT over four floors. EPC rating D",https://www.rightmove.co.uk/properties/158022221#/?channel=RES_BUY,1695000,semi-detached h
"The Knightsbridge Apartments, 199 Knightsbridge, London, SW7","Added on 02/09/2024
 by Park Lord, London",0,5,Added on 02/09/2024,"A once in a lifetime opportunity to own one of the most extraordinary properties in London. A Penthouse measuring approximately 9,500 sq.ft. with panoramic views across London. Featuring a private terrace with its own swimming pool. Situated within The Knightsbridge Apartments. London’s mos...",https://www.rightmove.co.uk/properties/151938803#/?channel=RES_BUY,80000000,penth
"One Hyde Park, Knightsbridge","Added on 05/07/2024
 by Global 1, London",0,5,Added on 05/07/2024,"An exceptional exclusive five bedroom apartment for sale in this much sought after development in Knightsbridge. The entire floor is approximately 9,000 sq. ft. and designed to the highest specifications with stunning views over Knightsbridge and Hyde park.",https://www.rightmove.co.uk/properties/148711631#/?channel=RES_BUY,60000000,apa
"Avenue Road, St John's Wood, London, NW8, United Kingdom","Added on 25/11/2024
 by United Kingdom Sotheby's International Realty (GPM Principal Branch), Mayfair",0,10,Added on 25/11/2024,Striking family home in the heart of St John's Wood,https://www.rightmove.co.uk/properties/155320229#/?channel=RES_BUY,59950000,h
"Balfour Place, Mayfair, London, W1K","Added on 04/09/2024
 by OB Private, Mayfair",0,7,Added on 04/09/2024,"A grand double fronted townhouse in the heart of the Mayfair Village, Balfour House is arguably the best house in Mayfair. With beautiful proportioned accommodation, triple aspect windows to the south, east and west, a lift to every floor and large roof terrace, the house retains the feel of a co...",https://www.rightmove.co.uk/properties/152066243#/?channel=RES_BUY,49500000,end
"One Hyde Park, Knightsbridge","Added on 21/02/2025
 by Global 1, London",0,5,Added on 21/02/2025,"An extraordinary apartment is now available in the highly sought-after One Hyde Park, one of the world`s most exclusive addresses.",https://www.rightmove.co.uk/properties/158528285#/?channel=RES_BUY,47000000,apa
"Whistler Square, Chelsea Barracks, London, SW1W, United Kingdom","Added on 09/09/2024
 by United Kingdom Sotheby's International Realty (GPM Principal Branch), Mayfair",0,6,Added on 09/09/2024,Beautiful six-bedroom house lies in the coveted Chelsea Barrack development,https://www.rightmove.co.uk/properties/152205953#/?channel=RES_BUY,47000000,h
"Whistler Square, London, SW1W","Added on 10/09/2024
 by Clifton Property Partners Ltd, London",0,7,Added on 10/09/2024,"A Stunning freehold house of 13,067 square feet within the iconic Chelsea Barracks development.",https://www.rightmove.co.uk/properties/152236991#/?channel=RES_BUY,47000000,t
"Buckingham Gate, SW1","Added on 12/10/2023
 by Knightsbridge Prime Property, Knightsbridge",0,9,Added on 12/10/2023,"Stunning White Georgian Stucco Fronted 19th Century Grade II Listed House Which Has Been Painstakingly Newly Refurbished To 21st Century Modern Living Standards. Internal Floor Area Spans An Impressive 15,845 Sq Ft / 1,472 Sq M. The Internal Six Person Passenger Lift Transports ...",https://www.rightmove.co.uk/properties/86606607#/?channel=RES_BUY,45000000,te
"Wilton Crescent, Belgravia, London, SW1X, United Kingdom","Added on 29/01/2025
 by United Kingdom Sotheby's International Realty (GPM Principal Branch), Mayfair",0,7,Added on 29/01/2025,Luxurious Belgravia townhouse on Wilton Crescent,https://www.rightmove.co.uk/properties/157525997#/?channel=RES_BUY,44000000,h
"One Hyde Park, Knightsbridge, London, SW1X, United Kingdom","Added on 13/01/2025
 by United Kingdom Sotheby's International Realty (GPM Principal Branch), Mayfair",0,4,Added on 13/01/2025,"An exquisite park side apartment, set within the world renowned One Hyde Park",https://www.rightmove.co.uk/properties/156795014#/?channel=RES_BUY,32500000,Not specified
"Merton Lane, Highgate, London, N6","Added on 30/10/2023
 by Robert Irving Burns, London",0,5,Added on 30/10/2023,"Located on a sought-after road in the heart of Highgate and occupying a two-acre site, a bespoke family home with the accommodation within the main house predominantly arranged over three floors (13,807 sq. ft. / 1282.7 sq. m ) with the added benefit of a substantial, self-contained staff lodge. ...",https://www.rightmove.co.uk/properties/141434015#/?channel=RES_BUY,32000000,h
"Merton Lane, London, N6","Added on 20/10/2023
 by The Agency Group, London",0,10,Added on 20/10/2023,An exquisite contemporary mansion in Highgate set on a superb 2 acre plot,https://www.rightmove.co.uk/properties/141107810#/?channel=RES_BUY,32000000,detached h
"Tregunter Road, Chelsea, London, SW10, United Kingdom","Added on 25/09/2024
 by United Kingdom Sotheby's International Realty (GPM Principal Branch), Mayfair",0,7,Added on 25/09/2024,Impeccably finished family home with an indoor swimming pool,https://www.rightmove.co.uk/properties/152997359#/?channel=RES_BUY,30000000,h
"FREEHOLD House in Park Street, Mayfair, W1K","Added on 07/06/2024
 by Wedgewood Estates, London",0,11,Added on 07/06/2024,"An exceptional Six-storey Grade II listed house in the heart of prestigious Mayfair, moments away from the world-famous green spaces of the Royal Parks and within close proximity of the capital’s most renowned restaurants, galleries and designer boutiques. The property, measuring over 7,000 SqFt,...",https://www.rightmove.co.uk/properties/148907393#/?channel=RES_BUY,30000000,te
"Tregunter Road, London","Added on 29/07/2024
 by Strutt & Parker, Chelsea",0,7,Added on 29/07/2024,"An impressive seven bedroom Freehold house with a beautiful garden and swimming pool, set back from the street behind secure gates, with off street parking for two cars, This immaculately refurbished house is ideal for flexible family living.",https://www.rightmove.co.uk/properties/156598394#/?channel=RES_BUY,30000000,semi-detached h
"Princes Gate, Knightsbridge, London, SW7","Added on 03/02/2025
 by Knight Frank, Knightsbridge",0,12,Added on 03/02/2025,"An impressive stucco fronted townhouse set on Princes Gate offering exceptional views over Hyde Park. Princes Gate is an impressive Grade II listed, stucco-fronted townhouse occupying a key position in this fine terrace of period houses directly facing Hyde Park and backing onto perhaps the fine...",https://www.rightmove.co.uk/properties/159182018#/?channel=RES_BUY,30000000,detached h
"Avenue Road, NW8","Added on 08/08/2023
 by Glentree Estates Ltd, London",0,8,Added on 08/08/2023,"'A very rare Freehold mansion, nestled in a double-width garden, available for sale for the first time in 60 years.' We are privileged to introduce this unique property, which offers the fortunate buyer a rare combination of privacy and grand living, in one of London's most sophisticated...",https://www.rightmove.co.uk/properties/138419774#/?channel=RES_BUY,30000000,detached h
"Cadogan Place, Belgravia, London, SW1X","Added on 05/10/2023
 by Savills, Knightsbridge",0,6,Added on 05/10/2023,A SPECTACULAR GRADE II LISTED HOUSE REFURBISHED AND INTERIOR DESIGNED TO A VERY HIGH STANDARD AND SPECIFICATION DIRECTLY OVERLOOKING CADOGAN PLACE GARDENS.,https://www.rightmove.co.uk/properties/140837231#/?channel=RES_BUY,29975000,te
"Piccadilly, Mayfair, London, W1J","Marketed by Knight Frank, Mayfair",0,0,,"A rare opportunity to regenerate an impressive period building with development potential and residential planning permission in place 139 Piccadilly is a Grade II listed building arranged over six floors, dating back to the mid-18th century. This grand, former townhouse offers over 14,000 sq ft...",https://www.rightmove.co.uk/properties/150234857#/?channel=COM_BUY,29950000,Not specified
"Piccadilly, Mayfair","Added on 03/11/2023
 by Wetherell, Mayfair",0,6,Added on 03/11/2023,"139 Piccadilly is a Grade II listed building arranged over six floors, dating back to the mid-18th century. This grand, former townhouse offers over 14,000 sq ft of accommodation and showcases a smart period facade, beautifully preserved original features throughout, and far-reaching views over G...",https://www.rightmove.co.uk/properties/141659681#/?channel=RES_BUY,29950000,h
"Chester Square, London, SW1W","Added on 05/02/2025
 by Savills, Sloane Street",0,6,Added on 05/02/2025,"Covering approximately 8,721 square feet, this ‘Key’ house is located in the middle of the preferred South terrace of Chester Square, Belgravia with direct views over the square gardens.",https://www.rightmove.co.uk/properties/157808378#/?channel=RES_BUY,29500000,te
