additional_links,address,agent,baths,beds,commonhold_details,council_tax_band,country_code,currency,date_added,description,ground_rent,link,price,property_id,property_size,property_type,service_charge,tenure,time_remaining_on_lease,type,url,virtual_tour
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","New Road, Burnham-on-Crouch, Essex, CM0","Added on 30/01/2025
 by Bairstow Eves, Burnham on Crouch",0,2,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 30/01/2025,"This charming two-bedroom semi-detached house offers the perfect canvas for those seeking a home with great potential. Boasting a long garden and a convenient driveway for two cars. On the ground floor, you'll find a kitchen, a spacious dining room, a cosy lounge, and a family bathroo...",,https://www.rightmove.co.uk/properties/157562963#/?channel=RES_BUY,180000,157562963,,for-sale,,Leasehold (40 years),40 years,semi-detached h,https://www.rightmove.co.uk/properties/157562963#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/8k/7881/154494317/7881_33481466_DOC_00_0037.pdf""]","Maldon Road, Burnham-On-Crouch","Reduced on 26/12/2024
 by Church & Hawes, Burnham on Crouch",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 26/12/2024,"***GUIDE PRICE £1,250,000 to £1,350,000*** ***STUNNING DETACHED RESIDENCE SPREAD OVER APPROX. 3500 SQ FT OF LUXURIOUS LIVING ACCOMMODATION ON 0.97 OF AN ACRE*** Built in 2015 and set in approximately one acre of stunning picturesque grounds on the fringes of Burnham-on-Crouch on the perip...",,https://www.rightmove.co.uk/properties/154494317#/?channel=RES_BUY,1250000,154494317,3578sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/154494317#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/8k/7881/155998463/7881_33563660_DOC_00_0008.pdf""]","Murrayfields, Burnham-On-Crouch","Added on 17/12/2024
 by Church & Hawes, Burnham on Crouch",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 17/12/2024,"Nestled amongst an exclusive development of executive detached properties within one of Burnham's most favoured locations, is this vastly improved, extended and wonderfully presented family home. Substantial living accommodation (3800 sq. ft.) is spread over three floors, commencing on the ground...",,https://www.rightmove.co.uk/properties/155998463#/?channel=RES_BUY,1100000,155998463,3800sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/155998463#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW"", ""https://media.rightmove.co.uk/8k/7881/152816285/7881_33391525_DOC_00_0005.pdf""]","Mangapp Chase, Burnham-On-Crouch","Reduced on 15/10/2024
 by Church & Hawes, Burnham on Crouch",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 15/10/2024,"A BRAND NEW executive detached property set along one of Burnham's most favoured and picturesque roads. Positioned on the fringes of Burnham, the property offers a perfect blend of countryside living, yet still within easy reach of local amenities, all of which are within walking distance. The p...",,https://www.rightmove.co.uk/properties/152816285#/?channel=RES_BUY,1000000,152816285,2700sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/152816285#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Green Lane, Burnham-on-Crouch, Essex, CM0","Added on 05/08/2024
 by Savills, Chelmsford",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 05/08/2024,"Listed house with extensive garaging, pool and a plot of about 0.84 acres.",,https://www.rightmove.co.uk/properties/150973913#/?channel=RES_BUY,975000,150973913,,for-sale,,Leasehold (160 years),160 years,detached h,https://www.rightmove.co.uk/properties/150973913#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]",Burnham on Crouch,"Added on 15/01/2025
 by Zoe Napier Collection, Essex & South Suffolk",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 15/01/2025,A HANDSOME Interior Designed Grade II listed Former Mill House with an ATTACHED GRANARY HOLIDAY LET/ANNEXE.  Close to waterside and marina. PERIOD INTERIOR of high specification.,,https://www.rightmove.co.uk/properties/156899795#/?channel=RES_BUY,950000,156899795,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/156899795#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Maldon Road, Burnham-on-Crouch, CM0","Reduced on 27/09/2024
 by Beresfords, Maldon",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 27/09/2024,"NO ONWARD CHAIN - An impressive family residence offering around 3700 sq ft of living accommodation, set within an established plot of nearly 0.4 acre, with long frontage, double garage (for storage) and 100' rear garden. EPC Awaited. (MAS220155)",,https://www.rightmove.co.uk/properties/148622111#/?channel=RES_BUY,899950,148622111,3700sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/148622111#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW"", ""https://media.rightmove.co.uk/8k/7881/156263615/7881_33574266_DOC_00_0005.pdf""]","New Builds @ Mangapp Chase, Burnham-On-Crouch","Added on 26/12/2024
 by Church & Hawes, Burnham on Crouch",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 26/12/2024,"BRAND NEW EXECUTIVE FOUR BEDROOM DETACHED PROPERTY - Forming part of a new executive development made up of 5 detached properties set along one of Burnham's most favoured and picturesque country lanes. Positioned on the fringes of Burnham, these properties offer a perfect blend of countryside liv...",,https://www.rightmove.co.uk/properties/156263615#/?channel=RES_BUY,895000,156263615,2500sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/156263615#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/8k/7881/156454220/7881_33583120_DOC_00_0002.pdf""]","Oaklands Stoney Hills, Burnham-On-Crouch","Reduced on 03/09/2024
 by Church & Hawes, Burnham on Crouch",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 03/09/2024,"Guide Price £850,000 - £875,000. A truly stunning, highly specified and wonderfully designed chalet style property set within the picturesque surroundings of the ever sought after area of Stoney Hills on the outskirts of Burnham. Affording generous living accommodation throughout discerning purch...",,https://www.rightmove.co.uk/properties/156454220#/?channel=RES_BUY,850000,156454220,2300sq. ft,for-sale,,Leasehold (7 years),7 years,detached h,https://www.rightmove.co.uk/properties/156454220#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/146k/145430/143734283/145430_MLN101818_DOC_01_0000.pdf""]","Green Lane, Burnham-On-Crouch","Added on 17/01/2024
 by William H. Brown, Maldon",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 17/01/2024,"A HANDSOMELY PROPORTIONED detached residence boasting circa 2300 SQ FT OF ACCOMMODATION, set within a lovingly kept and thoughtfully designed MATURE PLOT OF OVER 1/4 ACRE on the outskirts of the DESIRABLE WATERFRONT TOWN of Burnham on Crouch, enjoying DETACHED DOUBLE GARAGE & EXPANSIVE FRONTAGE.",,https://www.rightmove.co.uk/properties/143734283#/?channel=RES_BUY,850000,143734283,2300sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/143734283#/?channel=RES_BUY,
