additional_links,address,agent,baths,beds,commonhold_details,council_tax_band,country_code,currency,date_added,description,ground_rent,link,price,property_id,property_size,property_type,service_charge,tenure,time_remaining_on_lease,type,url,virtual_tour
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Charles Street, Boldon Colliery","Reduced on 17/03/2025
 by Andrew Craig, Boldon",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 17/03/2025,"Welcome to this beautifully presented three bedroom semi detached home, thoughtfully improved by the current owners to create a stylish and functional living space. The ground floor boasts a modern, open-plan layout, perfect for family living and entertaining. The spacious ...",,https://www.rightmove.co.uk/properties/155998259#/?channel=RES_BUY,138000,155998259,,for-sale,,Leasehold (40 years),40 years,semi-detached h,https://www.rightmove.co.uk/properties/155998259#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Boldon Lea, Boldon Colliery, Tyne and Wear, NE35 9BT","Added on 13/02/2025
 by Pattinson Estate Agents, South Shields",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 13/02/2025,"| FOUR BEDROOM | DETACHED HOUSE | EXTENDED LOUNGE | ENSUITE BEDROOM | ENCLOSED GARDEN | GREAT VIEWS | We are delighted to offer to the market this well presented four bedroom detached house on the sought after Boldon Lea, Boldon Colliery. Benefiting from gas central heating and double glazing ...",,https://www.rightmove.co.uk/properties/158230859#/?channel=RES_BUY,395000,158230859,,for-sale,,Leasehold (33 years),33 years,detached h,https://www.rightmove.co.uk/properties/158230859#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Eastleigh Close, Boldon Colliery, Tyne and Wear, NE35 9NG","Added on 13/02/2025
 by Pattinson Estate Agents, Jarrow",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 13/02/2025,"Pattinson Estate Agents welcome to the market this impressive Five Bedroom Detached Family located on Harden Park, Boldon. Situated in a quiet, sought after development, this family home has much to offer families and first time buyers. This is a large, spacious and bright property, the groun...",,https://www.rightmove.co.uk/properties/158232524#/?channel=RES_BUY,385000,158232524,,for-sale,,Leasehold (33 years),33 years,detached h,https://www.rightmove.co.uk/properties/158232524#/?channel=RES_BUY,Available (link not found)
"[""https://media.rightmove.co.uk/30k/29429/159516578/29429_33745656_DOC_00_0000.pdf""]","Steeple View, Boldon Colliery","Added on 17/03/2025
 by Michael Hodgson, Sunderland",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",i,GB,GBP,Added on 17/03/2025,"Nestled the cul-de-sac of Steeple View in Boldon Colliery, this impressive detached house offers a perfect blend of comfort and modern living. With four bedrooms, this property is ideal for families seeking ample space to grow and thrive and is arranged over three floors. The house boas...",,https://www.rightmove.co.uk/properties/159516578#/?channel=RES_BUY,359950,159516578,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/159516578#/?channel=RES_BUY,
,"Shipton Close, Boldon Colliery, NE35","Added on 07/01/2025
 by Conway Christie, South Tyneside",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 07/01/2025,"Charming 3-bed detached house with modern interiors and lovely conservatory. Corner plot with beautiful garden, driveway, garage, and convenient Metro access. Serene retreat with peaceful outdoor space.",,https://www.rightmove.co.uk/properties/156589448#/?channel=RES_BUY,325000,156589448,1033sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/156589448#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Leander Drive, Boldon Colliery, Tyne and Wear, NE35","Reduced on 28/01/2025
 by Reeds Rains, Hebburn",0,2,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 28/01/2025,"NO UPWARD CHAIN..........We are pleased to present this beautifully extended two-bedroom detached bungalow, ideally positioned within A lovely cul-de-sac spot on the sought after private development of Leander Drive. Offering a perfect blend of contemporary living and practicality, this property ...",,https://www.rightmove.co.uk/properties/158920595#/?channel=RES_BUY,325000,158920595,,for-sale,,Leasehold (40 years),40 years,bungal,https://www.rightmove.co.uk/properties/158920595#/?channel=RES_BUY,Available (link not found)
"[""https://media.rightmove.co.uk/37k/36498/159572195/36498_33748939_DOC_00_0000.pdf""]","Fareham Grove, Boldon Colliery","Added yesterday
 by Linda Leary Estate Agents, East Boldon",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",D,GB,GBP,Added yesterday,"An attractive and immaculately presented, freehold 3 bedroom detached home ideally situated for schools, shopping facilities, cinema, family friendly pubs and restaurants, as well as A19 and A1(M) access for commuters. This stylish ready to move into property offers spacious living accommodatio...",,https://www.rightmove.co.uk/properties/159572195#/?channel=RES_BUY,310000,159572195,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/159572195#/?channel=RES_BUY,
,"Station Road, Boldon Colliery","Reduced on 19/11/2024
 by Andrew Craig, Boldon",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 19/11/2024,"Welcome to this well presented three bedroom detached home, situated in a pleasant location within The Cotswolds Estate, Boldon Colliery. Enjoying an open aspect over common land at the front, this property is exceptionally light and airy, creating a welcoming and comfortable living environment. ...",,https://www.rightmove.co.uk/properties/86909277#/?channel=RES_BUY,265000,86909277,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/86909277#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/37k/36498/151671485/36498_33323372_DOC_02_0004.pdf""]","Fareham Grove, Boldon Colliery","Added on 23/08/2024
 by Linda Leary Estate Agents, East Boldon",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",C,GB,GBP,Added on 23/08/2024,"An ideal opportunity to purchase a wonderfully spacious, freehold, 3 bedroom semi detached house, offering perfect ""ready to move into"" accommodation perfect for a variety of purchasers. There are shopping facilities, cinema complex and many family friendly pubs and restaurants on the door step, ...",,https://www.rightmove.co.uk/properties/151671485#/?channel=RES_BUY,259950,151671485,,for-sale,,Leasehold (40 years),40 years,semi-detached h,https://www.rightmove.co.uk/properties/151671485#/?channel=RES_BUY,
,"Dunelm Grange, Boldon Colliery","Reduced on 15/08/2023
 by Andrew Craig, Boldon",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 15/08/2023,"SUBSTANTIAL REDUCTION AS EARLY SALE REQUIRED A generously proportioned mid terraced home located within a private courtyard development in Boldon Colliery. With an accommodation layout over three floors, this well presented home offers a comprehensively fitted kitchen / diner with integrated ap...",,https://www.rightmove.co.uk/properties/136514120#/?channel=RES_BUY,250000,136514120,,for-sale,,Leasehold (40 years),40 years,t,https://www.rightmove.co.uk/properties/136514120#/?channel=RES_BUY,
